"alt","choice","price","mincost","extras","network","sms","design","complexity"
2,0,170,170,"camera","other",0.17,"basic","no"
1,1,135,135,"internet","KPNVodafone",0.23,"trendy","yes"
2,0,170,170,"camera","other",0.17,"basic","no"
1,1,135,135,"internet","KPNVodafone",0.23,"trendy","yes"
2,0,170,170,"camera","other",0.17,"basic","no"
1,1,135,135,"internet","KPNVodafone",0.23,"trendy","yes"
2,0,170,170,"camera","other",0.17,"basic","no"
1,1,135,135,"internet","KPNVodafone",0.23,"trendy","yes"
2,0,170,170,"camera","other",0.17,"basic","no"
1,1,135,135,"internet","KPNVodafone",0.23,"trendy","yes"
2,0,170,170,"camera","other",0.17,"basic","no"
1,0,135,135,"internet","KPNVodafone",0.23,"trendy","yes"
2,1,170,170,"camera","other",0.17,"basic","no"
1,0,135,135,"internet","KPNVodafone",0.23,"trendy","yes"
2,1,170,170,"camera","other",0.17,"basic","no"
1,1,170,135,"games","other",0.17,"basic","no"
2,0,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,1,170,135,"games","other",0.17,"basic","no"
2,0,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,1,170,135,"games","other",0.17,"basic","no"
2,0,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,1,170,135,"games","other",0.17,"basic","no"
2,0,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,0,170,135,"games","other",0.17,"basic","no"
2,1,100,170,"camera","KPNVodafone",0.23,"trendy","yes"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,135,135,"camera","other",0.17,"basic","no"
2,0,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,0,135,135,"camera","other",0.17,"basic","no"
2,1,170,100,"internet","KPNVodafone",0.23,"trendy","no"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,1,100,135,"games","KPNVodafone",0.17,"basic","no"
2,0,135,170,"camera","other",0.23,"basic","yes"
1,0,100,135,"games","KPNVodafone",0.17,"basic","no"
2,1,135,170,"camera","other",0.23,"basic","yes"
1,0,100,135,"games","KPNVodafone",0.17,"basic","no"
2,1,135,170,"camera","other",0.23,"basic","yes"
1,0,100,135,"games","KPNVodafone",0.17,"basic","no"
2,1,135,170,"camera","other",0.23,"basic","yes"
1,0,100,135,"games","KPNVodafone",0.17,"basic","no"
2,1,135,170,"camera","other",0.23,"basic","yes"
1,0,100,135,"games","KPNVodafone",0.17,"basic","no"
2,1,135,170,"camera","other",0.23,"basic","yes"
1,0,100,135,"games","KPNVodafone",0.17,"basic","no"
2,1,135,170,"camera","other",0.23,"basic","yes"
1,0,100,135,"games","KPNVodafone",0.17,"basic","no"
2,1,135,170,"camera","other",0.23,"basic","yes"
1,0,100,135,"games","KPNVodafone",0.17,"basic","no"
2,1,135,170,"camera","other",0.23,"basic","yes"
1,0,100,135,"games","KPNVodafone",0.17,"basic","no"
2,1,135,170,"camera","other",0.23,"basic","yes"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,135,135,"games","other",0.23,"trendy","no"
2,0,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,0,135,135,"games","other",0.23,"trendy","no"
2,1,170,100,"internet","KPNVodafone",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,0,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,0,170,100,"camera","KPNVodafone",0.17,"basic","no"
2,1,100,170,"internet","other",0.23,"trendy","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,1,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,0,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,0,170,100,"camera","KPNVodafone",0.23,"trendy","yes"
2,1,100,135,"internet","other",0.17,"basic","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,1,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,0,100,170,"games","other",0.23,"trendy","no"
1,0,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,1,100,170,"games","other",0.23,"trendy","no"
1,0,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,1,100,170,"games","other",0.23,"trendy","no"
1,0,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,1,100,170,"games","other",0.23,"trendy","no"
1,0,170,135,"internet","KPNVodafone",0.17,"basic","no"
2,1,100,170,"games","other",0.23,"trendy","no"
1,0,170,135,"internet","KPNVodafone",0.17,"basic","no"
